key,val,name,pair
1,2;1575,1;30;40,43542
2,3;1576,1;30;40,11491
3,7;1580,1;30;40;90,3317
4,10;1583,1;30;200,5991
5,11;1607,1;30;200,14850
6,12;1608,1;30;200,24813
7,13;1586,1;30;40;200,1599
8,14;1581,1;30;200,4140
9,15;1591,1;30;200,1273
10,19;1610,20;5;10;70;90,21973
20,20;1603,5;9,10497
30,26;1604,9;60;40,38191
40,27;1605,9;60,26735
50,28;1606,9;60;40,27270
60,29;1587,1;30;40,6012
70,30;1593,1;30;40,9405
80,31;1601,1;30;40,8747
90,32;1589,1;30;40,2072
100,36;1602,10;60,7034
200,38;1585,90,12403
300,40;1588,8;40,2124
400,41;1578,8;40,10520
500,42;1579,8;40;70;60;100,1414
600,43;1582,8;40,2497
700,44;1584,8;40,4932
800,45;1590,8;40,1686
900,46;1592,8;40,853
1000,50;1594,100,1221
1618,68;1616,50,71561
5000,110;1577,1;30;200,2344
6000,120;1572,1;30;200,673
10000,190;1609,20;5;10;70;90,2592
100000,200;1571,1;30;40,9119
1000000,1900;1574,20;5;10;70;90,1182
10000000,2000;1573,1;30;40,5108
100000000,20000;1569,1;30;40,1578
1000000000,200000;1570,1;30;40,1511
