key,val,pos,node,name,link,root
2,0;1;0,1;1;1;1,2,bi,PP,PREFIX|bi+
3,1;1;0,1;1;1;2,60;40,somi,N,STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
5,2;1;0,1;1;2;1,1;30;30;5,{ll~ahi,PN,STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
7,3;1;0,1;1;3;1,1;30,{l,DET,PREFIX|Al+
11,4;1;0,1;1;3;2,200;8;40;50,r~aHoma`ni,ADJ,STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
13,5;1;0,1;1;4;1,1;30,{l,DET,PREFIX|Al+
17,0;1;1,1;1;4;2,200;8;10;40,r~aHiymi,ADJ,STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
19,1;1;1,1;2;1;1,1;30,{lo,DET,PREFIX|Al+
23,2;1;1,1;2;1;2,8;40;4,Hamodu,N,STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM
29,2;-1;1,1;2;2;1,30,li,PP,PREFIX|l_PP+
31,3;-1;1,1;2;2;2,30;5,l~ahi,PN,STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
37,3;1;1,1;2;3;1,200;2,rab~i,N,STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN
41,4;1;1,1;2;4;1,1;30,{lo,DET,PREFIX|Al+
43,5;1;1,1;2;4;2,70;30;40;10;50,Ea`lamiyna,N,STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN
47,0;1;2,1;3;1;1,1;30,{l,DET,PREFIX|Al+
53,0;-1;2,1;3;1;2,200;8;40;50,r~aHoma`ni,ADJ,STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
59,0;1;2,1;3;2;1,1;30,{l,DET,PREFIX|Al+
61,1;1;2,1;3;2;2,200;8;10;40,r~aHiymi,ADJ,STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
67,1;-1;2,1;4;1;1,40;30;20,ma`liki,N,STEM|POS:N|ACT_PCPL|LEM:ma`lik|ROOT:mlk|M|GEN
71,2;-1;2,1;4;2;1,10;6;40,yawomi,N,STEM|POS:N|LEM:yawom|ROOT:ywm|M|GEN
73,3;-1;2,1;4;3;1,1;30,{l,DET,PREFIX|Al+
79,3;1;2,1;4;3;2,4;10;50,d~iyni,N,STEM|POS:N|LEM:diyn|ROOT:dyn|M|GEN
83,4;1;2,1;5;1;1,1;10;1;20,<iy~aAka,PRON,STEM|POS:PRON|LEM:<iy~aA|2MS
89,4;-1;2,1;5;2;1,50;70;2;4,naEobudu,V,STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1P
97,5;-1;2,1;5;3;1,6,wa,CONJ,PREFIX|w_CONJ+
101,0;-1;3,1;5;3;2,1;10;1;20,<iy~aAka,PRON,STEM|POS:PRON|LEM:<iy~aA|2MS
103,1;-1;3,1;5;4;1,50;60;400;70;10;50,nasotaEiynu,V,STEM|POS:V|IMPF|X)|LEM:{sotaEiynu|ROOT:Ewn|1P
107,2;-1;3,1;6;1;1,1;5;4,{hodi,V,STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS
109,3;-1;3,1;6;1;2,50;1,naA,PRON,SUFFIX|+PRON;1P
113,4;-1;3,1;6;2;1,1;30,{l,DET,PREFIX|Al+
127,5;-1;3,1;6;2;2,90;200;9,S~ira`Ta,N,STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
131,0;-1;4,1;6;3;1,1;30,{lo,DET,PREFIX|Al+
137,0;1;4,1;6;3;2,40;60;400;100;10;40,musotaqiyma,ADJ,STEM|POS:ADJ|ACT_PCPL|X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC
139,1;1;4,1;7;1;1,90;200;9,Sira`Ta,N,STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
149,2;1;4,1;7;2;1,1;30;700;10;50,{l~a*iyna,REL,STEM|POS:REL|LEM:{l~a*iY|MP
151,3;1;4,1;7;3;1,1;50;70;40,>anoEamo,V,STEM|POS:V|PERF|IV)|LEM:>anoEama|ROOT:nEm|2MS
157,3;-1;4,1;7;3;2,400,ta,PRON,SUFFIX|+PRON;2MS
163,3;1;4,1;7;4;1,70;30;10,Ealayo,PP,STEM|POS:PP|LEM:EalaY`
167,4;1;4,1;7;4;2,5;40,himo,PRON,SUFFIX|+PRON;3MP
173,4;-1;4,1;7;5;1,1000;10;200,gayori,N,STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN
179,4;1;4,1;7;6;1,1;30,{lo,DET,PREFIX|Al+
181,5;1;4,1;7;6;2,40;1000;800;6;2,magoDuwbi,N,STEM|POS:N|PASS_PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN
191,0;1;5,1;7;7;1,70;30;10,Ealayo,PP,STEM|POS:PP|LEM:EalaY`
193,1;1;5,1;7;7;2,5;40,himo,PRON,SUFFIX|+PRON;3MP
197,2;1;5,1;7;8;1,6,wa,CONJ,PREFIX|w_CONJ+
199,3;1;5,1;7;8;2,30;1,laA,NEG,STEM|POS:NEG|LEM:laA
211,3;-1;5,1;7;9;1,1;30,{l,DET,PREFIX|Al+
223,3;1;5,1;7;9;2,800;1^;30;10;50,D~aA^l~iyna,N,STEM|POS:N|ACT_PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN
